                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                  1.293,                 1.6111,                 1.4258,                0.29212,                0.22949,                0.15774,                0.08275,                    nan,                    nan,                    nan,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.2732,                 1.6377,                 1.4106,                 0.3563,                0.24958,                0.22143,                0.12437,                    nan,                    nan,                    nan,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.3064,                 1.5956,                 1.4047,                0.59212,                0.17918,                0.21967,                 0.1124,                    nan,                    nan,                    nan,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.3211,                 1.5514,                 1.4038,                0.34325,                0.17361,                  0.176,                0.08031,                    nan,                    nan,                    nan,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.2633,                 1.5247,                  1.422,                0.62988,                0.24962,                 0.2995,                0.15352,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     42,                 1.2711,                 1.4511,                  1.383,                0.58554,                0.28423,                0.27606,                0.13708,                    nan,                    nan,                    nan,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.3099,                 1.5038,                 1.4517,                0.39222,                0.22569,                0.20972,                0.10572,                    nan,                    nan,                    nan,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.2387,                 1.4548,                 1.3541,                0.50362,                0.33631,                  0.292,                0.13883,                    nan,                    nan,                    nan,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.2583,                 1.4428,                 1.4044,                0.55619,                0.25576,                0.24896,                0.13121,                    nan,                    nan,                    nan,              0.0091288,              0.0091288,              0.0091288
                     46,                  1.233,                 1.4264,                 1.3874,                0.43501,                0.30456,                0.25505,                0.13609,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     47,                 1.2318,                 1.4052,                 1.3852,                0.34659,                0.29917,                0.25277,                0.12409,                    nan,                    nan,                    nan,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.1867,                 1.3853,                 1.3681,                0.29213,                0.21032,                0.18227,                0.09309,                    nan,                    nan,                    nan,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.1799,                  1.391,                 1.3441,                0.28892,                0.20982,                0.20676,                0.09906,                    nan,                    nan,                    nan,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.2254,                 1.3758,                 1.3741,                0.45924,                0.29134,                 0.2715,                0.13197,                    nan,                    nan,                    nan,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.1963,                 1.2656,                   1.35,                0.51115,                0.32044,                 0.3346,                  0.147,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
